#,no,name,laps,lead,lap_time,speed,elapsed_time,passing_time,hits,strength,noice,photocell_time,transponder,backup_tx,backup_passing_time,class,deleted
1,,Warmup Flag,,,,,,9:51:08.313,,,,,,,,,
2,,Green Flag,,,,,0.000,10:02:14.585,,,,,,,,,
139,2.0,Team Skeppsbrons BMW M3 E36,13.0,13.0,1:09.996,110'6,15:43.565,10:17:58.150,127.0,155.0,3.0,,4867808.0,0.0,,R1,No
140,3.0,Team Häsen Racing Sweden VW Polo,13.0,13.0,1:11.197,108'7,15:48.608,10:18:03.193,84.0,145.0,3.0,,9515691.0,0.0,,R1,No
141,44.0,Tommes Pack Seat Leon,14.0,14.0,1:08.584,112'9,15:56.533,10:18:11.118,140.0,177.0,3.0,,9788538.0,0.0,,R2,No
142,30.0,Team Gävlarna Clio ,14.0,14.0,1:06.965,115'6,16:03.623,10:18:18.208,112.0,158.0,3.0,,3289056.0,0.0,,R1,No
143,27.0,B.E.T BMW 330,14.0,14.0,1:07.539,114'6,16:06.947,10:18:21.532,96.0,153.0,3.0,,7493526.0,0.0,,R1,No
144,4.0,SMK Racing Renault Clio,14.0,14.0,1:07.625,114'5,16:08.626,10:18:23.211,138.0,171.0,3.0,,7622978.0,0.0,,R1,No
145,6.0,SPEeD S60 Racing Team S60 Challange,14.0,14.0,1:07.166,115'2,16:27.635,10:18:42.220,86.0,142.0,3.0,,4800537.0,0.0,,R2,No
146,99997.0,clio helvit N/N,14.0,14.0,1:10.184,110'3,16:29.855,10:18:44.440,133.0,168.0,3.0,,641641.0,0.0,,GT Open,No
147,86.0,clio 86,14.0,14.0,1:08.307,113'3,16:31.758,10:18:46.343,141.0,166.0,3.0,,7722174.0,0.0,,GT Open,No
148,2.0,Team Skeppsbrons BMW M3 E36,14.0,14.0,1:09.914,110'7,16:53.479,10:19:08.064,134.0,155.0,3.0,,4867808.0,0.0,,R1,No
149,3.0,Team Häsen Racing Sweden VW Polo,14.0,14.0,1:11.117,108'8,16:59.725,10:19:14.310,86.0,145.0,3.0,,9515691.0,0.0,,R1,No
150,44.0,Tommes Pack Seat Leon,15.0,15.0,1:05.909,117'4,17:02.442,10:19:17.027,152.0,178.0,3.0,,9788538.0,0.0,,R2,No
151,30.0,Team Gävlarna Clio ,15.0,15.0,1:07.349,114'9,17:10.972,10:19:25.557,121.0,160.0,3.0,,3289056.0,0.0,,R1,No
152,27.0,B.E.T BMW 330,15.0,15.0,1:07.500,114'7,17:14.447,10:19:29.032,100.0,153.0,3.0,,7493526.0,0.0,,R1,No
153,4.0,SMK Racing Renault Clio,15.0,15.0,1:07.217,115'1,17:15.843,10:19:30.428,128.0,171.0,3.0,,7622978.0,0.0,,R1,No
154,6.0,SPEeD S60 Racing Team S60 Challange,15.0,15.0,1:06.496,116'4,17:34.131,10:19:48.716,83.0,142.0,3.0,,4800537.0,0.0,,R2,No
155,99997.0,clio helvit N/N,15.0,15.0,1:06.475,116'4,17:36.330,10:19:50.915,125.0,165.0,3.0,,641641.0,0.0,,GT Open,No
156,86.0,clio 86,15.0,15.0,1:07.944,113'9,17:39.702,10:19:54.287,134.0,163.0,3.0,,7722174.0,0.0,,GT Open,No
157,2.0,Team Skeppsbrons BMW M3 E36,15.0,15.0,1:09.350,111'6,18:02.829,10:20:17.414,127.0,160.0,3.0,,4867808.0,0.0,,R1,No
158,44.0,Tommes Pack Seat Leon,16.0,16.0,1:05.916,117'4,18:08.358,10:20:22.943,150.0,179.0,3.0,,9788538.0,0.0,,R2,No
159,3.0,Team Häsen Racing Sweden VW Polo,15.0,16.0,1:11.335,108'5,18:11.060,10:20:25.645,93.0,147.0,3.0,,9515691.0,0.0,,R1,No
160,30.0,Team Gävlarna Clio ,16.0,16.0,1:08.012,113'8,18:18.984,10:20:33.569,118.0,160.0,3.0,,3289056.0,0.0,,R1,No
161,27.0,B.E.T BMW 330,16.0,16.0,1:07.566,114'6,18:22.013,10:20:36.598,99.0,153.0,4.0,,7493526.0,0.0,,R1,No
162,4.0,SMK Racing Renault Clio,16.0,16.0,1:07.346,114'9,18:23.189,10:20:37.774,131.0,171.0,4.0,,7622978.0,0.0,,R1,No
163,6.0,SPEeD S60 Racing Team S60 Challange,16.0,16.0,1:06.798,115'9,18:40.929,10:20:55.514,88.0,143.0,4.0,,4800537.0,0.0,,R2,No
164,86.0,clio 86,16.0,16.0,1:08.288,113'3,18:47.990,10:21:02.575,129.0,160.0,4.0,,7722174.0,0.0,,GT Open,No
